#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
1.166667,8,25.704266
1.166667,8,25.720933
1.095238,5,25.737288
1.190476,9,25.770113
-0.809524,9,25.807045
-0.904762,5,25.819981
1.119048,6,25.833461
-0.738095,12,25.860983
1.166667,8,25.880441
1.071429,4,25.891344
-9.690476,14,25.922498
1.095238,5,25.939258
1.190476,9,25.958009
-0.785714,10,25.981094
1.071429,4,25.992928
-0.738095,12,26.028521
-0.880952,6,26.046266
-0.857143,7,26.06511
1.142857,7,26.085907
-9.880952,6,26.099288
1.142857,7,26.119131
1.190476,9,26.141313
1.142857,7,26.157722
-0.714286,13,26.19795
1.142857,7,26.218977
1.142857,7,26.238926
1.071429,4,26.250022
1.071429,4,26.257982
1.119048,6,26.278715
-9.833333,8,26.29515
1.095238,5,26.307263
1.285714,13,26.336805
1.142857,7,26.352179
1.238095,11,26.377658
-9.690476,14,26.412462
1.119048,6,26.427716
-9.809524,9,26.451486
-9.880952,6,26.472719
1.190476,9,26.499658
1.142857,7,26.528342
